ID,Type,Artikelnummer,Naam,Gepubliceerd,Uitgelicht?,"Zichtbaarheid in catalogus","Korte beschrijving",Beschrijving,"Startdatum actieprijs","Einddatum actieprijs","Btw status",Belastingklasse,"Op voorraad?",Voorraad,"Lage voorraad","Nabestellingen toestaan?","Wordt individueel verkocht?","Gewicht (kg)","Lengte (cm)","Breedte (cm)","Hoogte (cm)","Klantbeoordelingen toestaan?",Aankoopnotitie,Actieprijs,"Reguliere prijs",Categorieën,Tags,Verzendklasse,Afbeeldingen,Downloadlimiet,"Dagen vervaltijd download",Hoofd,"Gegroepeerde producten",Upsells,Cross-sells,"Externe URL","Knop tekst",Positie
10392,simple,,"AHMED TEA ENGLISH TEA NO:1 ZAKJE",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"5,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/550x598.jpg,,,,,,,,,0
10395,simple,,"LIPTON YELLOW LABER",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"4,75","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/NL-V-1931.jpg,,,,,,,,,0
10396,simple,,"VISPAK CRVENA PAPRIKA 100G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/VISPAK-CRVENA.webp,,,,,,,,,0
10398,simple,,"MEVLANA SADE YAPRAK CAY",'-1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Alle producten",,,,,,,,,,,,0
10400,simple,,"VEGETA 1KG",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"7,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/VEGETA-1KG.jpg,,,,,,,,,0
10402,simple,,"VEGETA 500G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"4,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/VEGETA-500G.jpg,,,,,,,,,0
10404,simple,,"VEGETA 250G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"2,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/VEGETA-250G.webp,,,,,,,,,0
10406,simple,,"VISPAK BEGOVA CORBA 60G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/VISPAK-BEGOVA-CORBA.jpg,,,,,,,,,0
10408,simple,,"VISPAK KOKOSIJA JUHA 65G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"0,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/vispak-kokosija-supa-kippen-soep-vispak-65g_grande.webp,,,,,,,,,0
10410,simple,,"VISPAK TARHANA CORBA 60G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"0,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/558_gerecht_3906522.jpg,,,,,,,,,0
10412,simple,,"VISPAK SARAJEVSKA CORBA 65G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/558_gerecht_3906521.jpg,,,,,,,,,0
10414,simple,,"VISPAK DOMACA CORBA 60G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,29","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/DOMOCA-CORBA.jpg,,,,,,,,,0
10416,simple,,"PODRAVKA HAANSOEP",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"0,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/PODRAVKA-HAANSOEP.png,,,,,,,,,0
10418,simple,,"PODRAVKA GOVEDA JUHA 65G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"0,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/PODRAVKA-GO.jpg,,,,,,,,,0
10420,simple,,"POSNA JUHA OD POVRCA S TJESTENINOM 52G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"0,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/POSNA-JUHA.jpg,,,,,,,,,0
10422,simple,,"JUHA S GRIZ OKRUGLICAMA 52G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"0,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/JUHA-S.jpg,,,,,,,,,0
10424,simple,,"TAJNA GRAH I VARIVA 60G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"0,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/vispak-tajna-grah-i-variva-bonensoep-mix-vispak-60_2048x.webp,,,,,,,,,0
10428,simple,,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,'-1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Alle producten",,,,,,,,,,,,0
